ID,Is_Churn
55480787,0
9aededf2,1
a5034a09,0
b3256702,0
dc28adb5,0
5aee459a,0
3e83f7ea,1
ed4dfbd0,0
3911bea6,1
e04eff55,1
b62a943c,0
d499c6ec,1
c5d30bb4,0
3b19437b,0
a860111a,1
1ae50fc2,0
281a10a0,0
563b04e8,0
7e6cf810,0
7cc25f3f,0
aa04e6bb,1
01e998e2,0
5262cdc0,0
44d25d82,0
048f1640,0
b5ff85a7,0
a74523eb,0
bf45935f,0
69d6a36a,1
7eb7aeb6,1
b3723c9b,0
dc40ea28,1
91ef0414,1
3ac65d73,0
eb13cf48,0
338cc540,0
49fde12e,0
97daea88,0
a4b4ec5a,1
5f3b8fd8,1
45e6bace,0
742ab9ff,0
cc0f4f2e,1
c01e78e2,0
680d7d9b,0
a58d3300,1
35069eef,1
570bdf6e,0
e3341678,1
3eae1a7f,0
b7a4443e,0
78761714,0
5cc25e6b,0
36ccaeb2,1
a926dd29,1
2a26ead3,0
871d793a,0
a63a4e2a,0
78316037,1
c5fbf1e4,1
b0a93cd1,1
cdaffc4c,0
77fd0cb3,1
5b95d186,0
ddc9cdff,0
60ccfec4,0
b00b938a,0
ddb828a1,0
07659c28,1
10ac8f97,0
00ae893e,0
e897d5d7,0
5df7316e,0
9d1e4c98,0
f70ccc5c,0
dc9aff81,1
e1f3ed67,1
4db28015,0
ecbed9bd,0
28fb4d18,0
15f59e38,1
32069de4,0
fbabae0d,0
85bcd1eb,1
53056dd0,1
46e79647,0
ebf0b4d3,0
122d902b,0
8f9d4e4c,0
7faf8697,0
fd5c422b,0
cb244803,0
c2cbdf33,1
a2ecc1c3,0
442dcfd4,0
ab7748c0,0
a6b1fca6,0
d19105ad,1
703ec965,0
c73a5950,0
c4ee9d86,0
a75ced68,1
bbbc264d,0
f7864845,1
768110cb,0
fbc17cae,0
7bcd84fb,0
997816ab,0
66fa57b7,0
bba2d3fb,0
00bcf12d,0
83d4a9ec,0
9dfcf46a,0
732b9b2d,0
6d02a241,0
ae9cacea,1
c67e9bc4,0
6866f4cd,1
1c0bb452,0
e961e67a,0
92dac76e,0
98993390,0
1d69dbb7,1
1ce25bae,0
d86b4268,0
33010d65,0
45bde3e4,1
7d09a529,0
60da5057,0
d9bafa5b,1
d5c58e4a,0
531e5784,1
b7cf078e,0
531c6124,0
4820fd2d,0
44eff957,1
42837f1c,1
da0000c0,1
bffd2ccb,0
a86bbd79,1
399a8a8b,0
6eed985d,0
da1f1a5a,0
9a99b791,1
5f352bfc,0
b58359ee,0
d7acac75,0
4c2d7683,0
f7b7203b,0
13f6a5aa,0
36ef9f25,0
dc3aa431,0
99cd9ecd,0
41eb9416,1
c9a7f79d,0
1a200ccb,1
8a13b1e3,1
a860509e,0
77201a8b,1
cfa5064a,0
00425d7c,1
8f1b4d90,0
8c6f7212,0
1ab5847b,1
b5c7b886,0
979a34f5,0
07c09e4a,0
a5d27ef9,0
a0cbf5aa,1
7e540bf7,1
30d9caaa,0
f112523a,1
fd4863f9,1
1dd25f1e,0
ed286473,1
b2eaa56f,1
394fe42d,0
efb0bf8c,0
89daefe9,1
18bca543,0
6ff78f0f,0
fda001c3,0
678d2402,1
74621fa3,1
06d8c1dc,0
983bf019,0
03cb62aa,0
794d0916,0
53b567a7,0
f0b31acc,0
856bf9ea,0
e04fa5f5,0
3d98a593,0
d2157ee3,0
38de13e7,1
13bd6538,1
f86cfa0d,1
908c2a29,0
3e35d6f3,0
07279679,0
ff031fc0,0
32355db1,0
956c775c,0
bf16ab7e,0
b1b6decb,1
984f2294,1
f6b3bd31,0
3f2299b6,0
bf5f3a8c,0
4f0001a0,1
5fcdc4c6,0
6c3628a8,1
55069720,0
7d366b8a,1
395ff2d1,0
c8673bcc,0
a4781b92,0
8030168f,0
67522b87,0
fd27d20d,0
3cbeba17,0
bc708164,1
2692391a,1
8699ff93,1
afa16069,1
ccd814f3,0
bb4fe051,1
02c75bc4,0
a3601219,0
dd4bc514,1
8736d45f,0
fc769e68,1
4a104456,0
cf3b5060,1
04186d5f,1
540a84f1,0
36709660,1
d678b20e,1
5a0500c5,0
322e2439,0
740e6798,1
22abb327,1
b0263332,0
47ca10de,1
e25aad41,1
a9161175,0
314c6a82,0
bf6ae417,0
1b2213f5,0
c406b87f,0
a113b192,0
8755840f,0
2a9d4d81,0
e2efde5d,0
ab89b83b,1
f9191e99,0
0715af2e,0
f2cc8b2b,0
4cbd9368,0
5d11504c,0
b39a4cc3,1
5443d368,1
5a7dc136,0
92a28d2c,0
07a96e22,1
695f113c,0
f3b6f709,0
3de03783,0
627a6c92,0
0ac47e53,0
b20def6b,0
1128e3ee,0
beaa6c1b,0
2b14bf22,1
21dd65a0,0
0db7bdfc,0
d48c76b2,0
29bdba0b,1
53c578d3,1
43ad497e,1
cde8b1fa,0
81eec554,0
059e074d,0
da1922cf,0
980e04fe,0
5a534964,0
ddcd0f91,0
8a4cebe0,1
ef0bfb56,0
a163457d,0
28f944fb,0
bbc9778c,0
85179dbb,0
14e048d6,0
68195070,1
c130a49b,1
8d7b6ebe,1
d63c06ef,0
5f661ce4,0
99911292,0
0d98108b,0
12aaf8ee,0
da7479f3,0
f9213316,0
03b6b6c8,0
338b9f10,1
0f31daf7,0
232301fa,0
1d913e32,0
f1fce970,0
35be5ffa,0
6e86b90e,1
a0372749,1
dff8340c,1
4f7a67fa,0
0b0506d0,0
9e07e4db,0
9519a04b,0
11c1451d,0
8b999a19,1
0492913c,1
34c37698,0
2b0859d2,0
95734772,0
97d58245,0
2bbfd30c,0
fc5546bb,1
9ce54cbf,0
ce9b452d,0
5c5bbeca,0
b92ff528,0
e147dc0f,1
14634fea,0
f7550370,0
e6d16391,0
a056fb00,0
4692707d,0
9708e1a4,0
3c8884ad,0
70067125,0
3996afd4,0
b8654f10,0
bf3f68d3,0
d3c8bea3,0
1da2c5c9,0
7fe81e90,1
8331fd8b,1
fbb4113d,0
1c45330d,0
ef26e3da,0
920f7fa4,0
71f63015,0
02c80e84,0
b6104cc2,0
5404aad5,0
20d0b5b7,0
0a89e11e,0
292128c5,0
dc28f080,0
4acf899b,0
2a2d8ea0,1
3b4e4359,0
f7bf815b,1
49954913,0
5b976a28,0
d6ddd85f,0
ec2243e4,0
ba16f35e,0
1aa75c24,1
500aa6d1,0
aff01f11,0
b013f36b,0
e1ccf243,0
33a3f928,0
3d89daee,0
9f71dd86,0
008df99c,0
df6cb0c3,0
f0efe33d,0
7f298695,0
9db43d6b,1
07dbfcad,0
2b2e7a2f,0
d6d36788,0
928edfc2,0
3d67a318,0
0fd0a1d4,0
df5c19bf,0
fca5473e,0
8799bcb2,1
3bae00a0,0
7e568782,1
69684453,0
fe765d23,0
cba70261,0
16104f39,1
9016024e,0
d54b0712,1
323cd956,0
35ed30cf,0
5d56d0c2,0
b1fccc34,0
82134b54,0
8b645821,0
20b0f856,0
4325c742,0
e032c3f9,0
f5911709,0
de5dc3db,0
b1651623,0
72814460,0
efa69718,0
5e55bd6c,0
fdcfcf40,1
f392f2a8,0
d59259fe,0
f84f31be,1
64042c81,0
75a48df0,0
f16dd91a,0
c4bd5108,0
65fae6ea,0
f46136ac,0
be8393e1,1
d3d19846,0
8e6f56f6,0
81b34bae,0
5560c8e5,0
8101b81a,0
895cfc55,0
c733dc30,1
08f8ab9a,1
80429430,0
ae601d9f,0
559fd593,0
16952bb9,0
6ce4c04f,1
f0d2866e,1
5a28f65a,0
9a019bd0,1
9b7e94b7,0
e7ee38e1,1
e3698154,1
8b351355,1
1549b131,0
858ff6ba,1
b21dd1e0,0
c3e395d3,0
9073c91e,1
7f6c1418,0
ba7e1f90,0
98660c72,0
58633001,0
888511c9,0
34c0b76f,0
74b6d58f,0
436b6695,0
a95baa7d,1
4d415a32,1
a1bf9ecf,0
cebcfba8,0
12abf9f1,1
9c82d094,0
5ee64e7e,1
4e407a74,0
e2b1d455,0
95a75f40,0
6620bfb1,0
0c3833a3,1
877a9ceb,0
5a17852f,1
eed2c1df,0
676a6eff,0
5ce83a53,0
e898f054,0
9639b866,0
ee7d49ed,1
9c99104e,0
e3b2a1ae,0
1b0a7c78,1
ef68d3dc,0
012a24be,0
192ec775,1
a3bf4212,0
0bca562d,1
8c3f6050,1
36c72c04,0
7d1768d9,1
e290c3b5,0
da9f768c,0
1fc1c810,0
cf251c34,0
409542ff,0
6a603b34,1
cba23496,0
056baf3e,0
d3cd3857,1
327bd7b3,1
dc901131,0
ef831273,0
832a17cd,0
26682de5,0
6a832b3f,1
f5171b0c,0
7ee37aca,0
3dd61cf7,0
b18ae20f,0
a18f8b56,0
4b256c97,0
b2b0d416,0
6b81d78b,1
679e8d02,0
f33782ec,0
a0aa4977,0
06346b4b,1
abab48ef,0
83eec30b,0
7e6f1703,1
cd96d4b5,1
f4ef429d,0
1ac72c36,0
875626f6,0
ae9a62e4,0
4cfcfaeb,0
feb98159,0
500e58fb,1
df561afd,1
364e21b4,0
fafca939,0
24a77f09,0
280e95b1,1
54165f5a,0
51bdb32d,1
36e11a09,1
578b147a,0
8730bab6,0
ef323d63,0
53cea69d,0
4fc81cee,0
eac9fc93,1
3196554f,1
03f8a685,0
55a75d3b,0
740724fa,0
515eff74,0
8d9d148d,1
88c55669,0
230f7b0c,0
edda2f9c,0
0580e6de,0
8e836ec3,0
543af342,0
f068b334,0
42c08a82,0
fc169035,0
9d38c2e2,1
5fa96e30,0
b43f755e,0
e56ffe76,0
33377dc9,0
b6745229,0
2e877edc,1
4864585a,0
62bc5447,0
fbb8b7f5,0
2c09d863,0
ab172eb5,1
1d2dddb7,1
8716f944,0
cb3e59a6,0
501ff833,1
3f4e94c6,0
6a55f460,0
787ba782,1
45a74c6d,0
c309a53a,1
bd5b8c68,0
58708bf4,0
2ad98c9d,0
4d48667a,1
70e676e7,1
a215b66a,1
dd657db9,1
5b747793,0
0a2bcc83,0
0cd92c04,0
3148142d,0
07d406c9,0
acbd9724,0
e03fc200,0
971d7568,1
40a7822a,0
7a571265,0
50f5cfaf,1
0902735e,0
be0f5624,0
f5320c1c,1
18cfaed3,0
9fc3175e,0
03c6e607,0
9fe672f8,1
95a74f70,0
e643a811,0
4f57be54,1
f7b22baa,0
3aac9e2d,0
2505aee0,0
1e983def,0
431a082e,1
99818132,1
852188c7,1
e9a81ae3,0
2669d52f,0
16ed835b,0
ec16f766,0
4f443978,0
4ee7301f,0
97c5b9a3,1
a3c261ab,0
a36d363e,1
63734e86,0
754d4e20,0
dc718b60,0
9d1882ed,0
b5d91600,1
1ff95856,0
cb945d93,1
8823027c,0
fbee08b7,1
0b442086,0
dcfaf52c,1
af768331,1
2e5ffc56,0
e4bdf80c,0
2bccf5a5,1
43541907,0
43f46311,0
4dfafbd1,0
c3900d26,1
3842149a,0
5d47b64d,0
7754cc59,1
